"Date","Ticker","Z-Score","Z-Score_avg","Z-Score_hi","Z-Score_lo"
5/9/2025 0:00:00,"XLK",-3.77,-0.05,1.40,-1.50
5/12/2025 0:00:00,"XLK",-2.90,-0.05,1.40,-1.50
5/13/2025 0:00:00,"XLK",-2.33,-0.05,1.40,-1.50
5/14/2025 0:00:00,"XLK",-1.97,-0.05,1.40,-1.50
5/15/2025 0:00:00,"XLK",-1.71,-0.05,1.40,-1.50
5/16/2025 0:00:00,"XLK",-1.74,-0.05,1.40,-1.50
5/19/2025 0:00:00,"XLK",-1.55,-0.05,1.40,-1.50
5/20/2025 0:00:00,"XLK",-1.53,-0.05,1.40,-1.50
5/21/2025 0:00:00,"XLK",-1.29,-0.05,1.40,-1.50
5/22/2025 0:00:00,"XLK",-1.22,-0.05,1.40,-1.50
5/23/2025 0:00:00,"XLK",-1.20,-0.05,1.40,-1.50
5/27/2025 0:00:00,"XLK",-1.06,-0.05,1.40,-1.50
5/28/2025 0:00:00,"XLK",-0.96,-0.05,1.40,-1.50
5/29/2025 0:00:00,"XLK",-0.88,-0.05,1.40,-1.50
5/30/2025 0:00:00,"XLK",-0.80,-0.05,1.40,-1.50
6/2/2025 0:00:00,"XLK",-0.75,-0.05,1.40,-1.50
6/3/2025 0:00:00,"XLK",-0.70,-0.05,1.40,-1.50
6/4/2025 0:00:00,"XLK",-0.67,-0.05,1.40,-1.50
6/5/2025 0:00:00,"XLK",-0.65,-0.05,1.40,-1.50
6/6/2025 0:00:00,"XLK",-0.63,-0.05,1.40,-1.50
6/9/2025 0:00:00,"XLK",-0.85,-0.05,1.40,-1.50
6/10/2025 0:00:00,"XLK",-0.83,-0.05,1.40,-1.50
6/11/2025 0:00:00,"XLK",-2.27,-0.05,1.40,-1.50
6/12/2025 0:00:00,"XLK",-2.32,-0.05,1.40,-1.50
6/13/2025 0:00:00,"XLK",-1.90,-0.05,1.40,-1.50
6/16/2025 0:00:00,"XLK",-1.60,-0.05,1.40,-1.50
6/17/2025 0:00:00,"XLK",-1.38,-0.05,1.40,-1.50
6/18/2025 0:00:00,"XLK",-1.28,-0.05,1.40,-1.50
6/20/2025 0:00:00,"XLK",-1.15,-0.05,1.40,-1.50
6/23/2025 0:00:00,"XLK",-1.47,-0.05,1.40,-1.50
6/24/2025 0:00:00,"XLK",-1.10,-0.05,1.40,-1.50
6/25/2025 0:00:00,"XLK",-1.23,-0.05,1.40,-1.50
6/26/2025 0:00:00,"XLK",-1.54,-0.05,1.40,-1.50
6/27/2025 0:00:00,"XLK",-1.43,-0.05,1.40,-1.50
6/30/2025 0:00:00,"XLK",-1.26,-0.05,1.40,-1.50
7/1/2025 0:00:00,"XLK",-1.01,-0.05,1.40,-1.50
7/2/2025 0:00:00,"XLK",-0.90,-0.05,1.40,-1.50
7/3/2025 0:00:00,"XLK",-0.88,-0.05,1.40,-1.50
7/7/2025 0:00:00,"XLK",-0.62,-0.05,1.40,-1.50
7/8/2025 0:00:00,"XLK",-0.61,-0.05,1.40,-1.50
7/9/2025 0:00:00,"XLK",-0.60,-0.05,1.40,-1.50
7/10/2025 0:00:00,"XLK",-0.45,-0.05,1.40,-1.50
7/11/2025 0:00:00,"XLK",-0.25,-0.05,1.40,-1.50
7/14/2025 0:00:00,"XLK",-0.24,-0.05,1.40,-1.50
7/15/2025 0:00:00,"XLK",-0.26,-0.05,1.40,-1.50
7/16/2025 0:00:00,"XLK",-1.38,-0.05,1.40,-1.50
7/17/2025 0:00:00,"XLK",-1.73,-0.05,1.40,-1.50
7/18/2025 0:00:00,"XLK",-1.94,-0.05,1.40,-1.50
7/21/2025 0:00:00,"XLK",-1.79,-0.05,1.40,-1.50
7/22/2025 0:00:00,"XLK",-1.29,-0.05,1.40,-1.50
7/23/2025 0:00:00,"XLK",-1.32,-0.05,1.40,-1.50
7/24/2025 0:00:00,"XLK",-2.20,-0.05,1.40,-1.50
7/25/2025 0:00:00,"XLK",-2.07,-0.05,1.40,-1.50
7/28/2025 0:00:00,"XLK",-1.75,-0.05,1.40,-1.50
7/29/2025 0:00:00,"XLK",-1.58,-0.05,1.40,-1.50
7/30/2025 0:00:00,"XLK",-1.62,-0.05,1.40,-1.50
7/31/2025 0:00:00,"XLK",-1.55,-0.05,1.40,-1.50
8/1/2025 0:00:00,"XLK",0.14,-0.05,1.40,-1.50
8/4/2025 0:00:00,"XLK",0.83,-0.05,1.40,-1.50
8/5/2025 0:00:00,"XLK",0.88,-0.05,1.40,-1.50
8/6/2025 0:00:00,"XLK",1.13,-0.05,1.40,-1.50
8/7/2025 0:00:00,"XLK",1.05,-0.05,1.40,-1.50
8/8/2025 0:00:00,"XLK",1.20,-0.05,1.40,-1.50
8/11/2025 0:00:00,"XLK",1.29,-0.05,1.40,-1.50
8/12/2025 0:00:00,"XLK",1.68,-0.05,1.40,-1.50
8/13/2025 0:00:00,"XLK",1.50,-0.05,1.40,-1.50
8/14/2025 0:00:00,"XLK",1.40,-0.05,1.40,-1.50
8/15/2025 0:00:00,"XLK",1.30,-0.05,1.40,-1.50
8/18/2025 0:00:00,"XLK",1.17,-0.05,1.40,-1.50
8/19/2025 0:00:00,"XLK",1.65,-0.05,1.40,-1.50
8/20/2025 0:00:00,"XLK",1.40,-0.05,1.40,-1.50
8/21/2025 0:00:00,"XLK",1.23,-0.05,1.40,-1.50
8/22/2025 0:00:00,"XLK",1.38,-0.05,1.40,-1.50
8/25/2025 0:00:00,"XLK",1.27,-0.05,1.40,-1.50
8/26/2025 0:00:00,"XLK",1.10,-0.05,1.40,-1.50
8/27/2025 0:00:00,"XLK",1.08,-0.05,1.40,-1.50
8/28/2025 0:00:00,"XLK",1.16,-0.05,1.40,-1.50
8/29/2025 0:00:00,"XLK",1.68,-0.05,1.40,-1.50
8/1/2024 0:00:00,"XLV",0.96,0.16,1.55,-1.23
8/2/2024 0:00:00,"XLV",0.75,0.16,1.55,-1.23
8/5/2024 0:00:00,"XLV",1.76,0.16,1.55,-1.23
8/6/2024 0:00:00,"XLV",1.62,0.16,1.55,-1.23
8/7/2024 0:00:00,"XLV",1.62,0.16,1.55,-1.23
8/8/2024 0:00:00,"XLV",1.88,0.16,1.55,-1.23
8/9/2024 0:00:00,"XLV",1.68,0.16,1.55,-1.23
8/12/2024 0:00:00,"XLV",1.55,0.16,1.55,-1.23
8/13/2024 0:00:00,"XLV",1.59,0.16,1.55,-1.23
8/14/2024 0:00:00,"XLV",1.28,0.16,1.55,-1.23
8/15/2024 0:00:00,"XLV",1.24,0.16,1.55,-1.23
8/16/2024 0:00:00,"XLV",0.22,0.16,1.55,-1.23
8/19/2024 0:00:00,"XLV",0.18,0.16,1.55,-1.23
8/20/2024 0:00:00,"XLV",0.11,0.16,1.55,-1.23
8/21/2024 0:00:00,"XLV",0.04,0.16,1.55,-1.23
8/22/2024 0:00:00,"XLV",-0.10,0.16,1.55,-1.23
8/23/2024 0:00:00,"XLV",-0.24,0.16,1.55,-1.23
8/26/2024 0:00:00,"XLV",-0.32,0.16,1.55,-1.23
8/27/2024 0:00:00,"XLV",-0.39,0.16,1.55,-1.23
8/28/2024 0:00:00,"XLV",-0.47,0.16,1.55,-1.23
8/29/2024 0:00:00,"XLV",-0.66,0.16,1.55,-1.23
8/30/2024 0:00:00,"XLV",-0.89,0.16,1.55,-1.23
9/3/2024 0:00:00,"XLV",-1.09,0.16,1.55,-1.23
9/4/2024 0:00:00,"XLV",-3.08,0.16,1.55,-1.23
9/5/2024 0:00:00,"XLV",-1.89,0.16,1.55,-1.23
9/6/2024 0:00:00,"XLV",-1.91,0.16,1.55,-1.23
9/9/2024 0:00:00,"XLV",-2.42,0.16,1.55,-1.23
9/10/2024 0:00:00,"XLV",-2.07,0.16,1.55,-1.23
9/11/2024 0:00:00,"XLV",-1.83,0.16,1.55,-1.23
9/12/2024 0:00:00,"XLV",-1.86,0.16,1.55,-1.23
9/13/2024 0:00:00,"XLV",-1.67,0.16,1.55,-1.23
9/16/2024 0:00:00,"XLV",-1.50,0.16,1.55,-1.23
9/17/2024 0:00:00,"XLV",-1.07,0.16,1.55,-1.23
9/18/2024 0:00:00,"XLV",-1.02,0.16,1.55,-1.23
9/19/2024 0:00:00,"XLV",-0.93,0.16,1.55,-1.23
9/20/2024 0:00:00,"XLV",-0.81,0.16,1.55,-1.23
9/23/2024 0:00:00,"XLV",-0.66,0.16,1.55,-1.23
9/24/2024 0:00:00,"XLV",-0.63,0.16,1.55,-1.23
9/25/2024 0:00:00,"XLV",-0.35,0.16,1.55,-1.23
9/26/2024 0:00:00,"XLV",-0.24,0.16,1.55,-1.23
9/27/2024 0:00:00,"XLV",-0.17,0.16,1.55,-1.23
9/30/2024 0:00:00,"XLV",0.08,0.16,1.55,-1.23
10/1/2024 0:00:00,"XLV",0.08,0.16,1.55,-1.23
10/2/2024 0:00:00,"XLV",0.36,0.16,1.55,-1.23
10/3/2024 0:00:00,"XLV",0.77,0.16,1.55,-1.23
