"Date","Ticker","ticker_name","exposure","category","close","model_score"
2/12/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",235.82,-3.93
2/13/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",239.16,-6.34
2/14/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",239.97,-2.23
2/18/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",242.16,0.01
2/19/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",242.18,-0.42
2/20/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",241.41,-0.54
2/21/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",234.87,-8.88
2/24/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",231.51,11.25
2/25/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",228.51,54.81
2/26/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",231.00,-32.99
2/27/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",222.59,-1.86
2/28/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",225.53,-1.42
3/3/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",218.67,4.93
3/4/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",218.50,-4.05
3/5/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",221.57,-0.58
3/6/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",215.42,10.26
3/7/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",218.54,6.63
3/10/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",209.25,1.08
3/11/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",208.40,22.19
3/12/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",211.68,1.57
3/13/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",207.66,7.95
3/14/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",213.94,-22.35
3/17/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",215.43,-21.74
3/18/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",212.15,-16.39
3/19/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",214.91,-8.11
3/20/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",213.38,-21.55
3/21/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",213.96,-21.59
3/24/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",217.63,-28.88
3/25/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",218.35,-26.81
3/26/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",213.48,-32.53
3/27/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",211.51,-25.66
3/28/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",206.38,-13.13
3/31/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",206.48,-12.23
4/1/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",207.99,-0.53
4/2/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",209.53,-1.21
4/3/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",195.23,-16.23
4/4/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",182.37,-4.27
4/7/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",183.46,26.14
4/8/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",179.73,15.92
4/9/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",203.86,-30.70
4/10/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",194.37,-23.56
4/11/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",198.35,-32.12
4/14/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",200.16,-46.92
4/15/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",200.89,-43.41
4/16/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",193.91,-35.22
4/17/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",192.86,-35.32
4/21/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",187.88,-30.01
4/22/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",192.46,-24.59
4/23/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",198.04,-31.95
4/24/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",205.43,-25.64
4/25/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",208.47,-1.10
4/28/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",208.13,-1.01
4/29/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",209.10,-0.29
4/30/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",209.97,-0.53
5/1/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",213.05,-0.40
5/2/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",216.61,0.20
5/5/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",215.46,0.35
5/6/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",213.67,0.26
5/7/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",215.81,0.55
5/8/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",217.87,0.57
5/9/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",217.60,0.55
5/12/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",227.70,0.65
5/13/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",232.62,0.64
5/14/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",234.13,0.66
5/15/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",234.45,0.70
5/16/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",234.89,0.79
5/19/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",234.55,0.83
5/20/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",233.67,0.85
5/21/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",229.28,0.82
5/22/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",229.34,1.00
5/23/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",226.81,1.43
