Ticker,Date,Zscore,prem_disc
DG,2025-09-05,-2.06,0.3314
DG,2025-08-06,1.09,0.807
DGX,2025-09-05,-0.79,0.4041
DGX,2025-08-06,0.89,0.0292
DHI,2025-09-05,-0.98,-0.0026
DHI,2025-08-06,0.88,-0.5067
DHR,2025-09-05,-1.33,0.0463
DHR,2025-08-06,1.24,-0.3732
DHT,2025-09-05,-0.2,-0.0869
DHT,2025-08-06,-0.55,0.0559
DIA,2025-09-05,-1.2,0.2289
DIA,2025-08-06,0.05,0.223
DIS,2025-09-05,-2.82,0.2535
DIS,2025-08-06,2.87,0.2088
DLR,2025-09-05,0.46,0.4493
DLR,2025-08-06,-0.03,0.3322
DLTR,2025-09-05,2.33,-0.2519
DLTR,2025-08-06,-1.66,1.1728
DOC,2025-09-05,-1.29,0.341
DOC,2025-08-06,1.08,-0.2766
DOV,2025-09-05,0.21,-0.1252
DOV,2025-08-06,1.95,-0.0098
DOW,2025-09-05,-1.57,0.2418
DOW,2025-08-06,0.96,-0.5707
DPZ,2025-09-05,-2.56,0.6948
DPZ,2025-08-06,2.38,0.1098
DRI,2025-09-05,-1.09,0.9466
DRI,2025-08-06,-0.93,1.077
DTE,2025-09-05,-2.0,0.57
DTE,2025-08-06,1.46,1.1173
DUK,2025-09-05,-1.53,0.1421
DUK,2025-08-06,0.73,0.7651
DVA,2025-09-05,-3.7,0.2331
DVA,2025-08-06,2.67,-0.1195
DVN,2025-09-05,0.19,0.2697
DVN,2025-08-06,-3.92,-0.1243
DXCM,2025-09-05,-0.56,-0.0643
DXCM,2025-08-06,0.59,-0.2284
EA,2025-09-05,-1.5,-0.102
EA,2025-08-06,1.64,-0.3243
EBAY,2025-09-05,-1.71,-0.2891
EBAY,2025-08-06,1.74,-0.4929
EC,2025-09-05,-0.65,0.7277
EC,2025-08-06,-1.98,-0.3056
ECH,2025-09-05,-0.12,0.1982
ECH,2025-08-06,-1.66,0.5521
ECL,2025-09-05,-1.39,0.2608
ECL,2025-08-06,1.07,-0.0043
ED,2025-09-05,-0.05,0.2254
ED,2025-08-06,-1.0,0.4316
EDEN,2025-09-05,-1.56,-1.0
EDEN,2025-08-06,1.37,-0.5603
EDV,2025-09-05,0.88,0.1175
EDV,2025-08-06,0.2,-0.2017
EFNL,2025-09-05,-0.51,-1.0
EFNL,2025-08-06,0.59,0.2874
EFX,2025-09-05,0.29,-0.186
EFX,2025-08-06,0.9,-0.106
EG,2025-09-05,0.27,0.0743
EG,2025-08-06,-1.69,0.6993
EIDO,2025-09-05,0.88,0.268
EIDO,2025-08-06,-0.65,0.2203
EIRL,2025-09-05,-1.01,-1.0
EIRL,2025-08-06,1.39,0.1824
EIS,2025-09-05,-0.76,-1.0
EIS,2025-08-06,-0.68,-0.3024
EIX,2025-09-05,0.06,0.4425
EIX,2025-08-06,-0.65,-0.1671
EL,2025-09-05,1.24,-0.1828
EL,2025-08-06,-1.01,-0.267
ELV,2025-09-05,-0.76,0.3035
ELV,2025-08-06,0.09,-0.6233
EMN,2025-09-05,-2.0,0.0843
EMN,2025-08-06,1.99,-0.6009
EMR,2025-09-05,-3.21,0.1598
EMR,2025-08-06,3.88,0.012
ENPH,2025-09-05,-0.84,-0.3226
ENPH,2025-08-06,-0.87,-0.397
ENZL,2025-09-05,0.0,1.5287
ENZL,2025-08-06,-0.92,2.617
EOG,2025-09-05,2.11,-0.1557
EOG,2025-08-06,-1.94,0.6996
EPAM,2025-09-05,-0.47,0.1923
EPAM,2025-08-06,1.26,-0.024
EPHE,2025-09-05,-1.65,-1.0
EPHE,2025-08-06,1.9,0.544
EPOL,2025-09-05,-2.36,0.402
EPOL,2025-08-06,-0.13,-1.0
EPU,2025-09-05,-1.12,-1.0
EPU,2025-08-06,0.56,0.1396
EQIX,2025-09-05,-1.28,0.4367
EQIX,2025-08-06,-1.27,0.9531
EQR,2025-09-05,-0.76,-0.3884
EQR,2025-08-06,1.52,0.0674
EQT,2025-09-05,-0.91,0.2909
EQT,2025-08-06,0.67,-0.3277
ERIE,2025-09-05,2.06,0.0221
ERIE,2025-08-06,-1.17,0.3654
ES,2025-09-05,0.89,0.1286
ES,2025-08-06,0.58,0.1138
ESS,2025-09-05,-1.45,0.0777
ESS,2025-08-06,1.56,-0.2508
ETN,2025-09-05,-2.68,0.5774
ETN,2025-08-06,2.83,-0.4358
ETR,2025-09-05,-1.99,0.4451
ETR,2025-08-06,1.25,0.2226
EVRG,2025-09-05,-2.04,0.4414
EVRG,2025-08-06,0.54,0.2442
EW,2025-09-05,-1.5,0.6287
EW,2025-08-06,1.34,-0.2124
EWA,2025-09-05,0.11,0.3034
EWA,2025-08-06,-1.58,0.2835
EWC,2025-09-05,-2.34,0.2247
EWC,2025-08-06,1.5,-1.0
EWD,2025-09-05,-1.15,0.0053
EWD,2025-08-06,1.79,-0.189
EWG,2025-09-05,-1.3,0.1723
EWG,2025-08-06,1.51,-1.0
EWH,2025-09-05,-1.55,0.4112
EWH,2025-08-06,-0.24,-0.5846
EWI,2025-09-05,-1.73,0.414
EWI,2025-08-06,1.68,0.2131
EWJ,2025-09-05,-1.16,0.032
EWJ,2025-08-06,0.62,-1.0
EWK,2025-09-05,-0.83,-0.2279
EWK,2025-08-06,1.64,1.5088
EWL,2025-09-05,-1.63,-0.0446
EWL,2025-08-06,0.89,0.3999
EWM,2025-09-05,-0.29,-0.1254
EWM,2025-08-06,0.03,-1.0
EWN,2025-09-05,1.32,0.3075
EWN,2025-08-06,-0.41,0.1506
EWO,2025-09-05,-0.62,-1.0
EWO,2025-08-06,0.53,-1.0
EWP,2025-09-05,0.17,0.066
EWP,2025-08-06,0.3,-1.0
EWQ,2025-09-05,-1.4,0.0795
EWQ,2025-08-06,1.0,0.0772
EWS,2025-09-05,-0.08,0.3457
EWS,2025-08-06,1.65,-1.0
EWT,2025-09-05,1.91,0.1392
EWT,2025-08-06,-2.24,0.3198
EWU,2025-09-05,-0.26,0.1499
EWU,2025-08-06,-0.59,0.8032
EWW,2025-09-05,-1.11,0.0578
EWW,2025-08-06,1.14,0.1951
EWY,2025-09-05,-0.73,0.1304
EWY,2025-08-06,-1.73,0.8414
EWZ,2025-09-05,1.05,0.1628
EWZ,2025-08-06,-0.99,-0.2296
EXC,2025-09-05,-1.88,0.1577
EXC,2025-08-06,1.45,0.1053
EXE,2025-09-05,-1.12,0.2686
EXE,2025-08-06,0.83,0.3123
EXPD,2025-09-05,-2.07,-0.1576
EXPD,2025-08-06,1.65,-0.3564
EXPE,2025-09-05,-1.01,-0.0473
EXPE,2025-08-06,0.55,0.481
EXR,2025-09-05,-1.67,0.2603
EXR,2025-08-06,1.73,-0.4672
F,2025-09-05,-1.7,0.2173
F,2025-08-06,-1.5,1.1493
FANG,2025-09-05,1.9,-0.0009
