Date,Ticker,monthly_range,monthly_range_avg,monthly_range_hi,monthly_range_lo
2025-08-01,AMAT,33.2,30.8,37.4,24.1
2025-09-01,AMAT,8.4,30.8,37.4,24.1
2024-08-01,AMCR,1.4,1.0,1.4,0.6
2024-09-01,AMCR,0.7,1.0,1.4,0.6
2024-10-01,AMCR,0.6,1.0,1.4,0.6
2024-11-01,AMCR,1.3,1.0,1.4,0.6
2024-12-01,AMCR,1.4,1.0,1.4,0.6
2025-01-01,AMCR,0.6,1.0,1.4,0.6
2025-02-01,AMCR,1.0,1.0,1.4,0.6
2025-03-01,AMCR,1.2,1.0,1.4,0.6
2025-04-01,AMCR,1.5,1.0,1.4,0.6
2025-05-01,AMCR,0.6,1.0,1.4,0.6
2025-06-01,AMCR,0.4,1.0,1.4,0.6
2025-07-01,AMCR,0.8,1.0,1.4,0.6
2025-08-01,AMCR,1.6,1.0,1.4,0.6
2025-09-01,AMCR,0.4,1.0,1.4,0.6
2024-08-01,AMD,40.2,29.3,38.3,20.2
2024-09-01,AMD,36.6,29.3,38.3,20.2
2024-10-01,AMD,30.7,29.3,38.3,20.2
2024-11-01,AMD,17.8,29.3,38.3,20.2
2024-12-01,AMD,26.2,29.3,38.3,20.2
2025-01-01,AMD,18.9,29.3,38.3,20.2
2025-02-01,AMD,21.2,29.3,38.3,20.2
2025-03-01,AMD,21.2,29.3,38.3,20.2
2025-04-01,AMD,27.7,29.3,38.3,20.2
2025-05-01,AMD,26.1,29.3,38.3,20.2
2025-06-01,AMD,36.7,29.3,38.3,20.2
2025-07-01,AMD,49.0,29.3,38.3,20.2
2025-08-01,AMD,28.9,29.3,38.3,20.2
2025-09-01,AMD,14.6,29.3,38.3,20.2
2024-08-01,AME,22.3,17.3,23.1,11.6
2024-09-01,AME,11.6,17.3,23.1,11.6
2024-10-01,AME,18.8,17.3,23.1,11.6
2024-11-01,AME,20.4,17.3,23.1,11.6
2024-12-01,AME,17.1,17.3,23.1,11.6
2025-01-01,AME,17.1,17.3,23.1,11.6
2025-02-01,AME,14.6,17.3,23.1,11.6
2025-03-01,AME,24.9,17.3,23.1,11.6
2025-04-01,AME,28.1,17.3,23.1,11.6
2025-05-01,AME,19.7,17.3,23.1,11.6
2025-06-01,AME,7.3,17.3,23.1,11.6
2025-07-01,AME,14.8,17.3,23.1,11.6
2025-08-01,AME,10.1,17.3,23.1,11.6
2025-09-01,AME,7.0,17.3,23.1,11.6
2024-08-01,AMGN,34.3,33.1,45.9,20.4
2024-09-01,AMGN,27.0,33.1,45.9,20.4
2024-10-01,AMGN,18.5,33.1,45.9,20.4
2024-11-01,AMGN,70.5,33.1,45.9,20.4
2024-12-01,AMGN,29.1,33.1,45.9,20.4
2025-01-01,AMGN,29.6,33.1,45.9,20.4
2025-02-01,AMGN,34.9,33.1,45.9,20.4
2025-03-01,AMGN,32.4,33.1,45.9,20.4
2025-04-01,AMGN,47.5,33.1,45.9,20.4
2025-05-01,AMGN,30.2,33.1,45.9,20.4
2025-06-01,AMGN,31.7,33.1,45.9,20.4
2025-07-01,AMGN,32.3,33.1,45.9,20.4
2025-08-01,AMGN,20.7,33.1,45.9,20.4
2025-09-01,AMGN,10.0,33.1,45.9,20.4
2024-08-01,AMP,64.6,57.9,77.9,37.8
2024-09-01,AMP,49.0,57.9,77.9,37.8
2024-10-01,AMP,58.9,57.9,77.9,37.8
2024-11-01,AMP,75.8,57.9,77.9,37.8
2024-12-01,AMP,54.2,57.9,77.9,37.8
2025-01-01,AMP,74.1,57.9,77.9,37.8
2025-02-01,AMP,36.0,57.9,77.9,37.8
2025-03-01,AMP,77.6,57.9,77.9,37.8
2025-04-01,AMP,100.2,57.9,77.9,37.8
2025-05-01,AMP,60.7,57.9,77.9,37.8
2025-06-01,AMP,34.3,57.9,77.9,37.8
2025-07-01,AMP,47.6,57.9,77.9,37.8
2025-08-01,AMP,25.2,57.9,77.9,37.8
2025-09-01,AMP,26.3,57.9,77.9,37.8
2024-08-01,AMT,19.1,23.5,29.6,17.3
2024-09-01,AMT,20.8,23.5,29.6,17.3
2024-10-01,AMT,24.8,23.5,29.6,17.3
2024-11-01,AMT,27.2,23.5,29.6,17.3
2024-12-01,AMT,31.6,23.5,29.6,17.3
2025-01-01,AMT,21.3,23.5,29.6,17.3
2025-02-01,AMT,24.2,23.5,29.6,17.3
2025-03-01,AMT,16.9,23.5,29.6,17.3
2025-04-01,AMT,36.3,23.5,29.6,17.3
2025-05-01,AMT,25.0,23.5,29.6,17.3
2025-06-01,AMT,14.7,23.5,29.6,17.3
2025-07-01,AMT,28.6,23.5,29.6,17.3
2025-08-01,AMT,16.6,23.5,29.6,17.3
2025-09-01,AMT,12.2,23.5,29.6,17.3
2024-08-01,AMZN,39.0,26.4,34.0,18.9
2024-09-01,AMZN,24.2,26.4,34.0,18.9
2024-10-01,AMZN,15.4,26.4,34.0,18.9
2024-11-01,AMZN,21.6,26.4,34.0,18.9
2024-12-01,AMZN,23.5,26.4,34.0,18.9
2025-01-01,AMZN,25.6,26.4,34.0,18.9
2025-02-01,AMZN,38.4,26.4,34.0,18.9
2025-03-01,AMZN,29.6,26.4,34.0,18.9
2025-04-01,AMZN,37.0,26.4,34.0,18.9
2025-05-01,AMZN,31.0,26.4,34.0,18.9
2025-06-01,AMZN,21.1,26.4,34.0,18.9
2025-07-01,AMZN,18.6,26.4,34.0,18.9
2025-08-01,AMZN,22.7,26.4,34.0,18.9
2025-09-01,AMZN,14.2,26.4,34.0,18.9
2024-08-01,ANET,18.1,21.3,28.2,14.3
2024-09-01,ANET,20.7,21.3,28.2,14.3
2024-10-01,ANET,11.1,21.3,28.2,14.3
2024-11-01,ANET,15.9,21.3,28.2,14.3
2024-12-01,ANET,15.5,21.3,28.2,14.3
2025-01-01,ANET,35.9,21.3,28.2,14.3
2025-02-01,ANET,31.7,21.3,28.2,14.3
2025-03-01,ANET,18.5,21.3,28.2,14.3
2025-04-01,ANET,23.1,21.3,28.2,14.3
2025-05-01,ANET,16.7,21.3,28.2,14.3
2025-06-01,ANET,17.6,21.3,28.2,14.3
2025-07-01,ANET,28.7,21.3,28.2,14.3
2025-08-01,ANET,26.6,21.3,28.2,14.3
2025-09-01,ANET,14.5,21.3,28.2,14.3
2024-08-01,AON,22.6,34.9,50.1,19.7
2024-09-01,AON,14.3,34.9,50.1,19.7
2024-10-01,AON,47.3,34.9,50.1,19.7
2024-11-01,AON,33.2,34.9,50.1,19.7
2024-12-01,AON,39.9,34.9,50.1,19.7
2025-01-01,AON,32.5,34.9,50.1,19.7
2025-02-01,AON,44.6,34.9,50.1,19.7
