"Date","Ticker","prem_disc","prem_disc_avg","prem_disc_hi","prem_disc_lo"
5/19/2025 0:00:00,"XLK","-0.0891","-0.0017","0.3083","-0.3117"
5/20/2025 0:00:00,"XLK","-0.0701","-0.0017","0.3083","-0.3117"
5/21/2025 0:00:00,"XLK","0.0201","-0.0017","0.3083","-0.3117"
5/22/2025 0:00:00,"XLK","0.0750","-0.0017","0.3083","-0.3117"
5/23/2025 0:00:00,"XLK","0.3325","-0.0017","0.3083","-0.3117"
5/27/2025 0:00:00,"XLK","0.0895","-0.0017","0.3083","-0.3117"
5/28/2025 0:00:00,"XLK","0.2243","-0.0017","0.3083","-0.3117"
5/29/2025 0:00:00,"XLK","-0.0659","-0.0017","0.3083","-0.3117"
5/30/2025 0:00:00,"XLK","-0.0347","-0.0017","0.3083","-0.3117"
6/2/2025 0:00:00,"XLK","-0.0032","-0.0017","0.3083","-0.3117"
6/3/2025 0:00:00,"XLK","-0.0318","-0.0017","0.3083","-0.3117"
6/4/2025 0:00:00,"XLK","-0.0883","-0.0017","0.3083","-0.3117"
6/5/2025 0:00:00,"XLK","0.0665","-0.0017","0.3083","-0.3117"
6/6/2025 0:00:00,"XLK","-0.0122","-0.0017","0.3083","-0.3117"
6/9/2025 0:00:00,"XLK","-0.0753","-0.0017","0.3083","-0.3117"
6/10/2025 0:00:00,"XLK","-0.0818","-0.0017","0.3083","-0.3117"
6/11/2025 0:00:00,"XLK","0.2597","-0.0017","0.3083","-0.3117"
6/12/2025 0:00:00,"XLK","0.3667","-0.0017","0.3083","-0.3117"
6/13/2025 0:00:00,"XLK","0.4573","-0.0017","0.3083","-0.3117"
6/16/2025 0:00:00,"XLK","0.2196","-0.0017","0.3083","-0.3117"
6/17/2025 0:00:00,"XLK","0.3320","-0.0017","0.3083","-0.3117"
6/18/2025 0:00:00,"XLK","0.2489","-0.0017","0.3083","-0.3117"
6/20/2025 0:00:00,"XLK","0.2534","-0.0017","0.3083","-0.3117"
6/23/2025 0:00:00,"XLK","0.5544","-0.0017","0.3083","-0.3117"
6/24/2025 0:00:00,"XLK","0.3201","-0.0017","0.3083","-0.3117"
6/25/2025 0:00:00,"XLK","0.3291","-0.0017","0.3083","-0.3117"
6/26/2025 0:00:00,"XLK","0.4872","-0.0017","0.3083","-0.3117"
6/27/2025 0:00:00,"XLK","0.5041","-0.0017","0.3083","-0.3117"
6/30/2025 0:00:00,"XLK","0.5227","-0.0017","0.3083","-0.3117"
7/1/2025 0:00:00,"XLK","0.4397","-0.0017","0.3083","-0.3117"
7/2/2025 0:00:00,"XLK","0.4280","-0.0017","0.3083","-0.3117"
7/3/2025 0:00:00,"XLK","0.3829","-0.0017","0.3083","-0.3117"
7/7/2025 0:00:00,"XLK","0.4436","-0.0017","0.3083","-0.3117"
7/8/2025 0:00:00,"XLK","0.4365","-0.0017","0.3083","-0.3117"
7/9/2025 0:00:00,"XLK","0.4783","-0.0017","0.3083","-0.3117"
7/10/2025 0:00:00,"XLK","0.1889","-0.0017","0.3083","-0.3117"
7/11/2025 0:00:00,"XLK","0.2709","-0.0017","0.3083","-0.3117"
7/14/2025 0:00:00,"XLK","0.2885","-0.0017","0.3083","-0.3117"
7/15/2025 0:00:00,"XLK","0.3792","-0.0017","0.3083","-0.3117"
7/16/2025 0:00:00,"XLK","0.4691","-0.0017","0.3083","-0.3117"
7/17/2025 0:00:00,"XLK","0.7883","-0.0017","0.3083","-0.3117"
7/18/2025 0:00:00,"XLK","0.6735","-0.0017","0.3083","-0.3117"
7/21/2025 0:00:00,"XLK","0.5486","-0.0017","0.3083","-0.3117"
7/22/2025 0:00:00,"XLK","0.5938","-0.0017","0.3083","-0.3117"
7/23/2025 0:00:00,"XLK","0.3491","-0.0017","0.3083","-0.3117"
7/24/2025 0:00:00,"XLK","0.7464","-0.0017","0.3083","-0.3117"
7/25/2025 0:00:00,"XLK","0.7345","-0.0017","0.3083","-0.3117"
